id;alcohol_name;alcohol_type;brand_name;abv
1;strange;repurpose;for airbrush;772.06
2;nightlife;redact;neglected boohoo;14990.73
3;certainly overconfidently stiff;yowza;whoa;22990.82
4;briskly meanwhile freckle;huzzah worth while;thyme;13462.18
5;self-assured;ownership supposing;gee geez worriedly;4064.99
6;shaft quiet pro;swill;offset instead;11476.93
7;oh;around;wearily;25686.59
8;hm anti;final primary;soggy spirit;20909.11
9;that supposing geez;healthily;snoop phew wide-eyed;22416.57
10;gee;vice nautical;rightfully;28429.74
