id;drink_date;quantity;rating;memo;created_at
1;2026-03-14T03:30:30;22912;23966;exhaust a yesterday;2026-03-13T10:47:59
2;2026-03-13T10:39:32;11730;24772;spotless silent below;2026-03-13T13:54:28
3;2026-03-13T17:48:29;20411;14052;instead insignificant veto;2026-03-14T06:24:06
4;2026-03-13T18:32:51;12189;19423;seemingly hollow gasp;2026-03-14T01:11:29
5;2026-03-14T07:05:14;16983;13826;almost entice meh;2026-03-14T00:04:03
6;2026-03-13T22:22:22;7644;32176;anenst;2026-03-13T17:07:16
7;2026-03-13T21:12:05;12067;25332;meanwhile and geez;2026-03-13T21:28:26
8;2026-03-13T11:57:43;25070;28416;ha boo amazing;2026-03-14T01:11:45
9;2026-03-13T14:41:15;23684;25090;when redesign;2026-03-13T17:55:26
10;2026-03-14T08:01:05;3155;9111;roughly aha incidentally;2026-03-13T19:03:27
